GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,GHA,Ghana,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),38.97,38.97,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2013,2013,2013,AFR,Africa,GHA,Ghana,,,,7.268991084,7.3,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2012,2012,2012,AFR,Africa,GHA,Ghana,,,,7.164212021,7.2,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2011,2011,2011,AFR,Africa,GHA,Ghana,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,82.64,82.64,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,GHA,Ghana,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,54.95,54.95,,
DEVICES00,Total density per 100 000 population: Hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-hospitals,2013,2013,2013,AFR,Africa,GHA,Ghana,,,,1.36269,1.36,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2011,2011,2011,AFR,Africa,GHA,Ghana,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,67.07,67.07,,
DEVICES02,Total density per 100 000 population: Health centres,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-health-centres,2013,2013,2013,AFR,Africa,GHA,Ghana,,,,9.12579,9.13,,
DEVICES04,Total density per 100 000 population: Provincial hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-provincial-hospitals,2010,2010,2010,AFR,Africa,GHA,Ghana,,,,0.03,0.03,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2011,2011,2011,AFR,Africa,GHA,Ghana,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,15.49,15.49,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,GHA,Ghana,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,0.0,0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,GHA,Ghana,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,27.02,27.02,,
DEVICES03,Total density per 100 000 population: District/rural hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-district-rural-hospitals,2013,2013,2013,AFR,Africa,GHA,Ghana,,,,1.29707,1.30,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2011,2011,2011,AFR,Africa,GHA,Ghana,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,0.0,0,,
DEVICES01,Total density per 100 000 population: Health posts,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-health-posts,2010,2010,2010,AFR,Africa,GHA,Ghana,,,,1.18,1.18,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2011,2011,2011,AFR,Africa,GHA,Ghana,,,,6.834618818,6.8,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,GHA,Ghana,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,70.55,70.55,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,GHA,Ghana,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,88.02,88.02,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,GHA,Ghana,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,0.44,0.44,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2015,2015,2015,AFR,Africa,GHA,Ghana,,,,6.937186386,6.9,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,GHA,Ghana,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,72.19,72.19,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,GHA,Ghana,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,0.0,0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,GHA,Ghana,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),61.03,61.03,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,GHA,Ghana,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,27.36,27.36,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,GHA,Ghana,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,72.98,72.98,,
DEVICES05,Total density per 100 000 population: Specialized hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-specialized-hospitals,2013,2013,2013,AFR,Africa,GHA,Ghana,,,,0.03474,0.03,,
DEVICES05,Total density per 100 000 population: Specialized hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-specialized-hospitals,2010,2010,2010,AFR,Africa,GHA,Ghana,,,,0.04,0.04,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,GHA,Ghana,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),18.38,18.38,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,GHA,Ghana,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),81.62,81.62,,
DEVICES04,Total density per 100 000 population: Provincial hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-provincial-hospitals,2013,2013,2013,AFR,Africa,GHA,Ghana,,,,0.03088,0.03,,
