GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
#indicator+code,#indicator+name,#indicator+url,#date+year,#date+year+start,#date+year+end,#region+code,#region+name,#country+code,#country+name,#dimension+type,#dimension+code,#dimension+name,#indicator+value+num,#indicator+value,#indicator+value+low,#indicator+value+high
HIV_0000000026,Number of new HIV infections,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections,2019,2019,2019,AFR,Africa,GHA,Ghana,,,,19000.0,19 000 [14 000 - 25 000],14000.0,25000.0
HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-children-receiving-antiretroviral-therapy,2016,2016,2016,AFR,Africa,GHA,Ghana,,,,4356.0,4356,,
HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-children-needing-antiretroviral-therapy-based-on-who-methods,1991,1991,1991,AFR,Africa,GHA,Ghana,,,,12000.0,12 000 [7000 - 19 000],7000.0,19000.0
HIV_0000000009,Reported number of people receiving antiretroviral therapy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-receiving-antiretroviral-therapy,2024,2024,2024,AFR,Africa,GHA,Ghana,,,,156821.0,156 821,,
HIV_POSITIVITY,Percentage of HIV-positive results returned to people in the calendar year,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-testing-volume-and-positivity,2022,2022,2022,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,3.942647302,3.94,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections,2008,2008,2008,AFR,Africa,GHA,Ghana,,,,23000.0,23 000 [19 000 - 29 000],19000.0,29000.0
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-pregnant-women-living-with-hiv-needing-antiretrovirals-for-preventing-mother-to-child-transmission,2003,2003,2003,AFR,Africa,GHA,Ghana,,,,17000.0,17 000 [14 000 - 21 000],14000.0,21000.0
MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-hiv-among-adults-aged-15-to-49-%28-%29,2006,2006,2006,AFR,Africa,GHA,Ghana,,,,2.1,2.1 [1.9 - 2.5],1.9,2.5
MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-hiv-among-adults-aged-15-to-49-%28-%29,2020,2020,2020,AFR,Africa,GHA,Ghana,,,,1.6,1.6 [1.4 - 1.9],1.4,1.9
HIV_0000000026,Number of new HIV infections,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections,2024,2024,2024,AFR,Africa,GHA,Ghana,,,,15000.0,15 000 [10 000 - 25 000],10000.0,25000.0
HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-pregnant-women-living-with-hiv-needing-antiretrovirals-for-preventing-mother-to-child-transmission,2007,2007,2007,AFR,Africa,GHA,Ghana,,,,16000.0,16 000 [13 000 - 19 000],13000.0,19000.0
HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-antiretroviral-therapy-coverage-among-children,2021,2021,2021,AFR,Africa,GHA,Ghana,,,,23.0,23 [16 - 31],16.0,31.0
HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-children-receiving-antiretroviral-therapy,2012,2012,2012,AFR,Africa,GHA,Ghana,,,,3504.0,3504,,
HIV_0000000009,Reported number of people receiving antiretroviral therapy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-people-receiving-antiretroviral-therapy,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,147881.0,147 881,,
HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-antiretroviral-therapy-coverage-among-children,2007,2007,2007,AFR,Africa,GHA,Ghana,,,,1.0,1 [1 - 2],1.0,2.0
MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-hiv-among-adults-aged-15-to-49-%28-%29,2008,2008,2008,AFR,Africa,GHA,Ghana,,,,2.0,2 [1.8 - 2.3],1.8,2.3
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-hiv-infections-%28per-1000-uninfected-population%29,2018,2018,2018,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,0.47,0.47 [0.35 - 0.64],0.35,0.64
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-hiv-infections-%28per-1000-uninfected-population%29,1991,1991,1991,AFR,Africa,GHA,Ghana,SEX,SEX_MLE,Male,1.8,1.8 [1.3 - 2.3],1.3,2.3
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-hiv-infections-%28per-1000-uninfected-population%29,2023,2023,2023,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,0.52,0.52 [0.34 - 0.82],0.34,0.82
HIV_0000000006,Number of people dying from HIV-related causes,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-due-to-hiv-aids,2012,2012,2012,AFR,Africa,GHA,Ghana,,,,16000.0,16 000 [13 000 - 20 000],13000.0,20000.0
HIV_0000000026,Number of new HIV infections,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections,2003,2003,2003,AFR,Africa,GHA,Ghana,,,,27000.0,27 000 [23 000 - 33 000],23000.0,33000.0
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-hiv-infections-%28per-1000-uninfected-population%29,1995,1995,1995,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,2.5,2.5 [2.2 - 3.1],2.2,3.1
HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-children-receiving-antiretroviral-therapy,2019,2019,2019,AFR,Africa,GHA,Ghana,,,,4281.0,4281,,
HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-antiretroviral-therapy-coverage-among-children,2019,2019,2019,AFR,Africa,GHA,Ghana,,,,17.0,17 [12 - 22],12.0,22.0
HIV_0000000001,Estimated number of people (all ages) living with HIV,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-people--living-with-hiv,2019,2019,2019,AFR,Africa,GHA,Ghana,,,,330000.0,330 000 [290 000 - 380 000],290000.0,380000.0
HIV_0000000026,Number of new HIV infections,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-new-hiv-infections,2023,2023,2023,AFR,Africa,GHA,Ghana,,,,17000.0,17 000 [11 000 - 26 000],11000.0,26000.0
HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-number-of-children-needing-antiretroviral-therapy-based-on-who-methods,2016,2016,2016,AFR,Africa,GHA,Ghana,,,,31000.0,31 000 [25 000 - 37 000],25000.0,37000.0
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-testing-and-counselling---testing-and-counselling-facilities,2014,2014,2014,AFR,Africa,GHA,Ghana,,,,10.0,10,,
HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-children-receiving-antiretroviral-therapy,2005,2005,2005,AFR,Africa,GHA,Ghana,,,,136.0,136,,
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-hiv-infections-%28per-1000-uninfected-population%29,1993,1993,1993,AFR,Africa,GHA,Ghana,SEX,SEX_FMLE,Female,2.8,2.8 [2.4 - 3.4],2.4,3.4
HIV_0000000011,Reported number of children receiving antiretroviral therapy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/reported-number-of-children-receiving-antiretroviral-therapy,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,5338.0,5338,,
SDGHIV,New HIV infections (per 1000 uninfected population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-hiv-infections-%28per-1000-uninfected-population%29,1990,1990,1990,AFR,Africa,GHA,Ghana,SEX,SEX_BTSX,Both sexes,2.0,2 [1.3 - 2.6],1.3,2.6
HIV_0000000024,Estimated antiretroviral therapy coverage among children,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-antiretroviral-therapy-coverage-among-children,2001,2001,2001,AFR,Africa,GHA,Ghana,,,,0.0,0 [0 - 0],0.0,0.0
